movieId,title,genres,cast,keywords,popularity,rating,poster,mood,Industry
29427,The Crazies (2010),Mystery|Horror|Action,Timothy Olyphant|Radha Mitchell|Joe Anderson,biological weapon|satellite|cover-up|remake|madness|psychosis|duringcreditsstinger|chemtrail|virus|fema,2.7648,6.3,https://image.tmdb.org/t/p/w500/ggtG9DZELyTtM2Y0DRJDOJa5iP8.jpg,Adrenaline,HOLLYWOOD
39013,Winter's Bone (2010),Drama|Mystery,Jennifer Lawrence|John Hawkes|Kevin Breznahan,sheriff|based on novel or book|missouri|suspicion|teenage girl|poverty|struggle for survival|backwoods|sibling|mental illness|responsibility|uncle niece relationship|mountain country|bail bondsman|woman director|family crisis|drug manufacturing|crystal meth|rural setting|slow burn|drug usage|harsh|taking care of siblings|gutsy,2.4676,6.8,https://image.tmdb.org/t/p/w500/a0qhPkNlxLfsf5B2jFyI1Pp04XV.jpg,Dark,HOLLYWOOD
89636,Dragon Ball Z: Plan to Eradicate the Super Saiyans (2010),Action|Animation|Adventure,Masako Nozawa|Ryo Horikawa|Takeshi Kusao,remake|based on manga|anime|based on anime|original video animation (ova),2.6844,7.2,https://image.tmdb.org/t/p/w500/qPv8avE1joxywziPMd49k6yINJp.jpg,Adrenaline,ANIME
103510,Ultraman Zero: The Revenge of Belial (2010),Action|Adventure|Family|Science Fiction,Mamoru Miyano|Tatsuomi Hamada|Yu Koyanagi,hero|superhero|super power|kaiju|ultraman,2.7106,7.5,https://image.tmdb.org/t/p/w500/sm2hvflBrIt73PZP6ODrpWvfyrI.jpg,Adrenaline,HOLLYWOOD
301307,American Fetish (2010),Mystery|Thriller|Crime,Matt Jones|Charlie Laine|Matt Bianca,fetish|nightclub|police corruption|pantyhose|bdsm|nylons|foot fetish,2.3851,3.6,https://image.tmdb.org/t/p/w500/9BJDDi7aNoMVfOrQxB8ZJ5ABqcC.jpg,Dark,HOLLYWOOD
38358,The Last Exorcism (2010),Horror|Thriller|Mystery,Patrick Fabian|Ashley Bell|Iris Bahr,farm|exorcism|paranormal phenomena|louisiana|fraud|evil spirit|ouija board|human sacrifice|evangelical|preacher|fake documentary|satanic ritual|found footage|satanic cult|pseudo-documentary|documentary crew|pov|faux documentary,2.1331,5.7,https://image.tmdb.org/t/p/w500/eOo9tgGjxdsQEgqc6g7E1NL8460.jpg,Dark,HOLLYWOOD
52333,Astral City: A Spiritual Journey (2010),Drama,Renato Prieto|Fernando Alves Pinto|Rosanne Mulholland,afterlife|purgatory|spiritualist|life after death|angry|calm|candid|spiritism|inspirational|intimate|didactic|admiring|adoring|awestruck|baffled|enchant|enthusiastic|exuberant|informative,2.4815,7.2,https://image.tmdb.org/t/p/w500/aUsqP3347kkNIbcx05uglDIs5jb.jpg,Romantic,HOLLYWOOD
43813,GasHole (2010),Documentary,Peter Gallagher|George W. Bush|Joshua Jackson,energy policy|profit|price|oil|energy|gasoline,2.3497,6.2,https://image.tmdb.org/t/p/w500/A6OIstdWYcgqG9HOy06YLQfv25U.jpg,Neutral,HOLLYWOOD
53807,"Bruce Lee, My Brother (2010)",Action|Drama,Aarif Rahman|Tony Leung Ka-fai|Christy Chung Lai-Tai,martial arts|biography|hong kong|wing chun|1950s|bruce lee,2.4252,6.9,https://image.tmdb.org/t/p/w500/txXFfNeGguClbLIbbHRPjZTtVy7.jpg,Adrenaline,CHINESE
70695,Dirty Girl (2010),Drama|Comedy,Juno Temple|Jeremy Dozier|Milla Jovovich,virgin|high school|teacher|friends|reputation,2.6246,6.0,https://image.tmdb.org/t/p/w500/bQ6tNsVfa9DSGzmuvDdlOBZUexY.jpg,Feel-Good,HOLLYWOOD
